date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:26	1197622/1197622	---MCZ	200	added ('OK')	application/javascript	etag:%22e7156807f99d583d84e042976de1bbf0-ssl-df%22	https://basecola.com/_next/static/chunks/630-95957682fee37e40.js	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/chunks/630-95957682fee37e40.js	(from https://basecola.com/dapp)
13:46:26	9532/9532	---MCZ	200	added ('OK')	application/javascript	etag:%2202b8ca750029f4a0bb7383b560f29c71-ssl-df%22	https://basecola.com/_next/static/chunks/pages/dapp-3b7e1a9f8fe9c89d.js	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/chunks/pages/dapp-3b7e1a9f8fe9c89d.js	(from https://basecola.com/dapp)
13:46:28	142184/142184	---M--	200	added ('OK')	image/png	etag:%227bb66df8e35badcd1d27831769796812-ssl%22	https://basecola.com/maquina.png	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/maquina.png	(from https://basecola.com/dapp)
13:46:30	153540/153540	---M--	200	added ('OK')	image/png	etag:%2282966cd60fd86295711d90e573151351-ssl%22	https://basecola.com/toshi2-cola.png	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/toshi2-cola.png	(from https://basecola.com/dapp)
13:46:32	105293/105293	---M--	200	added ('OK')	image/png	etag:%22771a57c90b1640c2b5ca0a5edec29c84-ssl%22	https://basecola.com/mochi2-cola.png	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/mochi2-cola.png	(from https://basecola.com/dapp)
13:46:34	6716/6716	---M--	200	added ('OK')	font/woff2	etag:%22644372e16893009804eb67bf4bc791f0-ssl%22	https://basecola.com/_next/static/media/ibm-plex-mono-cyrillic-ext-400-normal.d2a15191.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/ibm-plex-mono-cyrillic-ext-400-normal.d2a15191.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:36	44840/44840	---MCZ	200	added ('OK')	application/font-woff	etag:%221847e734f79b851f616722fcb722702e-ssl-df%22	https://basecola.com/_next/static/media/ibm-plex-mono-all-400-normal.9fd1cbda.woff	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/ibm-plex-mono-all-400-normal.9fd1cbda.woff	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:38	8128/8128	---M--	200	added ('OK')	font/woff2	etag:%22902f104d9864460b6fe552ba7f2394b8-ssl%22	https://basecola.com/_next/static/media/ibm-plex-mono-cyrillic-400-normal.1cc66227.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/ibm-plex-mono-cyrillic-400-normal.1cc66227.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:39	5212/5212	---M--	200	added ('OK')	font/woff2	etag:%2257b14f18cee68ec6aeaa735085ea4954-ssl%22	https://basecola.com/_next/static/media/ibm-plex-mono-vietnamese-400-normal.a4b6ff95.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/ibm-plex-mono-vietnamese-400-normal.a4b6ff95.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:41	12332/12332	---M--	200	added ('OK')	font/woff2	etag:%22fc70507b923165bc352b29f9f8cd3f98-ssl%22	https://basecola.com/_next/static/media/ibm-plex-mono-latin-ext-400-normal.dc8f260f.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/ibm-plex-mono-latin-ext-400-normal.dc8f260f.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
